y;x;editions;leftlambert;toplambert;rightlambert;lambert;west;north;east;south
37;50;1976;614400;131424;615000;131024;2.53285488;48.88308426;2.54102132;48.87947288
37;51;1976;615000;131424;615600;131024;2.54103608;48.88306996;2.54920192;48.87945800
37;52;1973;615600;131424;616200;131024;2.54921727;48.88305507;2.55738252;48.87944252
37;53;1973;616200;131424;616800;131024;2.55739846;48.88303960;2.56556311;48.87942647
38;7;1976;588600;131024;589200;130624;2.18107287;48.87954795;2.18926420;48.87596176
38;10;1950 1968;590400;131024;591000;130624;2.20561476;48.87957886;2.21380434;48.87599090
38;11;1950 1970;591000;131024;591600;130624;2.21379540;48.87958799;2.22198439;48.87599945
38;28;1978;601200;131024;601800;130624;2.35286657;48.87965359;2.36104550;48.87605509
38;29;1979 1979-HD;601800;131024;602400;130624;2.36104723;48.87965218;2.36922557;48.87605309
38;30;1857 1918 2000 2000-HD;602400;131024;603000;130624;2.36922789;48.87965018;2.37740564;48.87605051
38;31;1920 1969-HD;603000;131024;603600;130624;2.37740855;48.87964760;2.38558571;48.87604734
38;34;1986 1984-HD;604800;131024;605400;130624;2.40195053;48.87963633;2.41012591;48.87603431
38;35;1986 1984-HD;605400;131024;606000;130624;2.41013119;48.87963140;2.41830597;48.87602880
38;45;1982;611400;131024;612000;130624;2.49193762;48.87954990;2.50010646;48.87594145
38;46;1984;612000;131024;612600;130624;2.50011825;48.87953853;2.50828649;48.87592949
38;47;1993;612600;131024;613200;130624;2.50829887;48.87952657;2.51646652;48.87591695
38;48;1993;613200;131024;613800;130624;2.51647949;48.87951403;2.52464654;48.87590382
38;52;1973;615600;131024;616200;130624;2.54920192;48.87945800;2.55736659;48.87584545
38;53;1973;616200;131024;616800;130624;2.55738252;48.87944252;2.56554659;48.87582939
39;7;1976;588600;130624;589200;130224;2.18108417;48.87595087;2.18927491;48.87236467
39;11;1950;591000;130624;591600;130224;2.21380434;48.87599090;2.22199273;48.87240236
39;19;1956 1956-HD;595800;130624;596400;130224;2.27924481;48.87604286;2.28742848;48.87244963
39;29;1979;601800;130624;602400;130224;2.36104550;48.87605509;2.36922326;48.87245600
39;30;1857 1918 1967 1967-HD;602400;130624;603000;130224;2.36922557;48.87605309;2.37740274;48.87245342
39;31;1924 2001-HD;603000;130624;603600;130224;2.37740564;48.87605051;2.38558221;48.87245025
39;42;1982;609600;130624;610200;130224;2.46738630;48.87598342;2.47555633;48.87237672
